ISO3,Year,Month,Total,Domestic,International,Total_OS
AUT,2017,12,2050.629,39.666,2010.963,2098.617
AUT,2018,1,1905.331,38.19,1867.141,
AUT,2018,2,1937.152,40.903,1896.249,
AUT,2018,3,2404.43,50.625,2353.805,
AUT,2018,4,2442.085,49.507,2392.578,
AUT,2018,5,2585.884,49.824,2536.06,
AUT,2018,6,2822.571,54.618,2767.953,
AUT,2018,7,3085.491,52.621,3032.87,
AUT,2018,8,3143.286,48.168,3095.118,
AUT,2018,9,3028.317,56.652,2971.665,
AUT,2018,10,2842.107,56.063,2786.044,
AUT,2018,11,2396.286,47.705,2348.581,
AUT,2018,12,2545.477,40.301,2505.176,
BEL,2010,1,1337.584,1.831,1335.753,1339.451
BEL,2010,2,1397.881,2.976,1394.905,1394.747
BEL,2010,3,1678.13,3.998,1674.132,1670.464
BEL,2010,4,1544.861,2.777,1542.084,1534.597
BEL,2010,5,2078.077,8.055,2070.022,2049.045
BEL,2010,6,2093.415,7.296,2086.119,2071.52
BEL,2010,7,2487.914,9.949,2477.965,2432.923
BEL,2010,8,2407.821,10.508,2397.313,2345.972
BEL,2010,9,2217.019,9.718,2207.301,2189.729
BEL,2010,10,2141.503,3.35,2138.153,2134.476
BEL,2010,11,1757.811,0.605,1757.206,1758.326
BEL,2010,12,1555.748,2.405,1553.343,1555.624
BEL,2011,1,1501.419,1.305,1500.114,1515.963
BEL,2011,2,1472.013,1.527,1470.486,1481.969
BEL,2011,3,1870.073,2.348,1867.725,1878.272
BEL,2011,4,2141.705,3.661,2138.044,2141.375
BEL,2011,5,2282.02,5.722,2276.298,2278.324
BEL,2011,6,2303.327,5.28,2298.047,2298.843
BEL,2011,7,2709.542,8.656,2700.886,2694.154
BEL,2011,8,2571.801,8.994,2562.807,2556.661
BEL,2011,9,2507.76,7.485,2500.275,2500.513
BEL,2011,10,2259.696,3.011,2256.685,2256.635
BEL,2011,11,1810.841,1.7,1809.141,1814.579
BEL,2011,12,1672.498,1.446,1671.052,1679.7
BEL,2012,1,1534.946,1.579,1533.367,1542.99
BEL,2012,2,1586.685,2.216,1584.469,1591.182
BEL,2012,3,1906.186,3.232,1902.954,1911.907
BEL,2012,4,2236.235,2.342,2233.893,2230.251
BEL,2012,5,2353.375,4.044,2349.331,2345.088
BEL,2012,6,2408.452,4.758,2403.694,2364.784
BEL,2012,7,2828.842,8.414,2820.428,2812.222
BEL,2012,8,2712.545,9.429,2703.116,2638.266
BEL,2012,9,2555.419,6.409,2549.01,2505.782
BEL,2012,10,2276.696,1.378,2275.318,2273.956
BEL,2012,11,1829.209,1.262,1827.947,1827.769
BEL,2012,12,1690.925,1.105,1689.82,1698.262
BEL,2013,1,1554.914,0.764,1554.15,1556.871
BEL,2013,2,1555.965,0.965,1555.0,1557.459
BEL,2013,3,1932.19,2.635,1929.555,1933.049
BEL,2013,4,2261.127,1.909,2259.218,2259.801
BEL,2013,5,2408.826,3.947,2404.879,2411.817
BEL,2013,6,2460.324,4.747,2455.577,2464.391
BEL,2013,7,2835.828,8.764,2827.064,2846.355
BEL,2013,8,2785.575,8.887,2776.688,2795.871
BEL,2013,9,2593.195,4.872,2588.323,2595.158
BEL,2013,10,2342.3,1.302,2340.998,2347.456
BEL,2013,11,1864.727,1.737,1862.99,1870.033
BEL,2013,12,1794.956,2.526,1792.43,1806.349
BEL,2014,1,1638.7,1.999,1636.701,1649.821
BEL,2014,2,1608.226,2.129,1606.097,1617.59
BEL,2014,3,2004.797,3.054,2001.743,2017.594
BEL,2014,4,2505.099,1.683,2503.416,2513.892
BEL,2014,5,2619.815,4.313,2615.502,2625.462
BEL,2014,6,2683.507,3.323,2680.184,2694.562
BEL,2014,7,3065.902,7.307,3058.595,3077.834
BEL,2014,8,3103.037,8.623,3094.414,3117.948
BEL,2014,9,2872.608,3.378,2869.23,2882.786
BEL,2014,10,2618.148,0.77,2617.378,2630.256
BEL,2014,11,2107.419,1.838,2105.581,2114.56
BEL,2014,12,1949.0,1.78,1947.22,1960.064
BEL,2015,1,1817.576,2.141,1815.435,1830.702
BEL,2015,2,1856.334,1.922,1854.412,1864.51
BEL,2015,3,2209.413,2.211,2207.202,2218.204
BEL,2015,4,2660.132,1.32,2658.812,2660.146
BEL,2015,5,2859.581,3.027,2856.554,2856.119
BEL,2015,6,2855.538,2.49,2853.048,2844.405
BEL,2015,7,3281.63,3.35,3278.28,3278.365
BEL,2015,8,3260.405,5.217,3255.188,3260.725
BEL,2015,9,3043.615,1.859,3041.756,3035.755
BEL,2015,10,2823.646,0.793,2822.853,2812.576
BEL,2015,11,2238.354,1.246,2237.108,2236.092
BEL,2015,12,2052.617,2.398,2050.219,2054.643
BEL,2016,1,1966.259,1.748,1964.511,1989.576
BEL,2016,2,2089.083,1.878,2087.205,2110.524
BEL,2016,3,1936.776,1.483,1935.293,1951.729
BEL,2016,4,2005.251,0.483,2004.768,2008.852
BEL,2016,5,2703.577,1.446,2702.131,2710.373
BEL,2016,6,2736.786,0.658,2736.128,2740.242
BEL,2016,7,3213.462,0.961,3212.501,3217.812
BEL,2016,8,3133.437,0.794,3132.643,3136.514
BEL,2016,9,2990.813,0.591,2990.222,3002.223
BEL,2016,10,2767.036,0.474,2766.562,2768.788
BEL,2016,11,2318.544,0.441,2318.103,2320.831
BEL,2016,12,2254.808,0.775,2254.033,2258.291
BEL,2017,1,2064.27,0.581,2063.689,2067.748
BEL,2017,2,2083.035,0.307,2082.728,2087.793
BEL,2017,3,2462.55,0.94,2461.61,2468.093
BEL,2017,4,2891.115,0.956,2890.159,2896.213
BEL,2017,5,2983.022,0.645,2982.377,2987.864
BEL,2017,6,2986.272,0.724,2985.548,2970.502
BEL,2017,7,3468.159,1.199,3466.96,3474.771
BEL,2017,8,3408.657,1.013,3407.644,3407.358
BEL,2017,9,3202.473,0.93,3201.543,3205.749
BEL,2017,10,2982.388,0.432,2981.956,2982.958
BEL,2017,11,2422.231,0.615,2421.616,2422.235
BEL,2017,12,2306.321,1.508,2304.813,2308.507
BEL,2018,1,2190.383,0.249,2190.134,
BEL,2018,2,2194.321,0.557,2193.764,
BEL,2018,3,2590.913,1.554,2589.359,
BEL,2018,4,3062.128,0.998,3061.13,
BEL,2018,5,3092.445,0.569,3091.876,
BEL,2018,6,3110.741,0.788,3109.953,
BEL,2018,7,3555.992,0.939,3555.053,
BEL,2018,8,3496.343,1.007,3495.336,
BEL,2018,9,3259.277,0.745,3258.532,
BEL,2018,10,2992.47,0.545,2991.925,
BEL,2018,11,2540.218,0.353,2539.865,
BEL,2018,12,2421.063,0.477,2420.586,
BGR,2010,1,273.78,8.456,265.324,285.002
BGR,2010,2,242.626,10.4,232.226,254.668
BGR,2010,3,273.116,12.749,260.367,288.385
BGR,2010,4,245.311,12.129,233.182,261.102
BGR,2010,5,424.416,15.323,409.093,449.039
BGR,2010,6,794.101,20.204,773.897,826.16
BGR,2010,7,1147.747,24.164,1123.583,1183.314
BGR,2010,8,1168.521,25.569,1142.952,1201.126
BGR,2010,9,733.968,18.662,715.306,760.899
BGR,2010,10,348.654,14.752,333.902,365.957
BGR,2010,11,247.081,11.346,235.735,260.801
BGR,2010,12,270.002,10.16,259.842,281.879
BGR,2011,1,281.19,10.988,270.202,295.175
BGR,2011,2,255.29,12.819,242.471,271.98
BGR,2011,3,288.958,15.802,273.156,306.209
BGR,2011,4,315.771,17.138,298.633,333.85
BGR,2011,5,452.652,19.675,432.977,479.622
BGR,2011,6,872.497,26.194,846.303,909.059
BGR,2011,7,1261.908,26.006,1235.902,1295.041
BGR,2011,8,1257.769,28.979,1228.79,1291.86
BGR,2011,9,806.26,23.34,782.92,836.498
BGR,2011,10,339.6,12.315,327.285,353.623
BGR,2011,11,245.788,5.979,239.809,253.499
BGR,2011,12,274.324,6.135,268.189,283.731
BGR,2012,1,276.87,5.015,271.855,285.268
BGR,2012,2,248.309,5.499,242.81,256.365
BGR,2012,3,288.098,14.904,273.194,306.315
BGR,2012,4,318.565,16.381,302.184,337.31
BGR,2012,5,438.227,18.534,419.693,461.559
BGR,2012,6,946.489,25.527,920.962,978.202
BGR,2012,7,1337.258,28.673,1308.585,1373.577
BGR,2012,8,1306.449,29.34,1277.109,1339.765
BGR,2012,9,795.693,21.596,774.097,820.579
BGR,2012,10,333.363,16.793,316.57,352.073
